model_name,asset,avg_accuracy,avg_precision,avg_recall,avg_f1,n_features,n_samples
Random_Forest,WTI_Crude,0.724960254372019,0.7214634311526942,0.724960254372019,0.6851990849132883,34,3775
Gradient_Boosting,WTI_Crude,0.5971383147853737,0.6498601462188612,0.5971383147853737,0.5704414904745253,34,3775
Logistic_Regression,WTI_Crude,0.7227344992050875,0.7130023674046763,0.7227344992050875,0.6874692532999868,34,3775
Random_Forest,Brent_Crude,0.7087440381558029,0.719246761060169,0.7087440381558029,0.6693077546389012,34,3775
Gradient_Boosting,Brent_Crude,0.6715421303656598,0.6787493165971428,0.6715421303656598,0.6340528323533653,34,3775
Logistic_Regression,Brent_Crude,0.6756756756756757,0.6981086873739885,0.6756756756756757,0.6239836993764886,34,3775
Random_Forest,Natural_Gas,0.6343402225755167,0.6013061576008155,0.6343402225755167,0.5914410340725229,34,3775
Gradient_Boosting,Natural_Gas,0.5720190779014309,0.582810539501944,0.5720190779014309,0.5559622941057406,34,3775
Logistic_Regression,Natural_Gas,0.5659777424483307,0.6041045740597724,0.5659777424483307,0.5349015207111473,34,3775
Random_Forest,Heating_Oil,0.7230524642289348,0.715026600892944,0.7230524642289348,0.6930104408135053,34,3775
Gradient_Boosting,Heating_Oil,0.6937996820349761,0.6861501212251983,0.6937996820349761,0.6646726087677751,34,3775
Logistic_Regression,Heating_Oil,0.6740858505564388,0.7047468959897281,0.6740858505564388,0.6379159960763907,34,3775
Random_Forest,Gasoline,0.713831478537361,0.7173020465634942,0.713831478537361,0.67732899421906,34,3775
Gradient_Boosting,Gasoline,0.63879173290938,0.659781057803487,0.63879173290938,0.5897889193867186,34,3775
Logistic_Regression,Gasoline,0.6807631160572337,0.7090773901798137,0.6807631160572337,0.6275108984486916,34,3775
